tier,key,kind,rank,english,greek,russian,icon_subject,icon_subject_greek,search_suggestion,note,filename
1,01-06,fixed,2,The Theophany of the Lord,Τὰ Θεοφάνεια,Богоявление · Крещение Господне,The Baptism of Christ,Ἡ Βάπτισις / Θεοφάνεια,The Baptism of Christ,One of the Twelve Great Feasts,01-06.jpg
1,02-02,fixed,2,The Meeting of the Lord in the Temple,Ἡ Ὑπαπαντὴ τοῦ Κυρίου,Сретение Господне,The Presentation in the Temple,Ἡ Ὑπαπαντή,The Presentation in the Temple,One of the Twelve Great Feasts,02-02.jpg
1,03-25,fixed,2,The Annunciation of the Theotokos,Ὁ Εὐαγγελισμὸς τῆς Θεοτόκου,Благовещение Пресвятой Богородицы,The Annunciation,Ὁ Εὐαγγελισμός,The Annunciation,One of the Twelve Great Feasts,03-25.jpg
1,08-06,fixed,2,The Transfiguration of the Lord,Ἡ Μεταμόρφωσις τοῦ Σωτῆρος,Преображение Господне,The Transfiguration,Ἡ Μεταμόρφωσις,The Transfiguration,One of the Twelve Great Feasts,08-06.jpg
1,08-15,fixed,2,The Dormition of the Theotokos,Ἡ Κοίμησις τῆς Θεοτόκου,Успение Пресвятой Богородицы,The Dormition of the Theotokos,Ἡ Κοίμησις,The Dormition of the Theotokos,PATRONAL FEAST of the parish — One of the Twelve Great Feasts,08-15.jpg
1,09-08,fixed,2,The Nativity of the Theotokos,Τὸ Γενέθλιον τῆς Θεοτόκου,Рождество Пресвятой Богородицы,The Nativity of the Theotokos,Τὸ Γενέθλιον,The Nativity of the Theotokos,One of the Twelve Great Feasts,09-08.jpg
1,09-14,fixed,2,The Universal Elevation of the Precious Cross,Ἡ Ὕψωσις τοῦ Τιμίου Σταυροῦ,Воздвижение Креста Господня,The Exaltation of the Cross,Ἡ Ὕψωσις τοῦ Σταυροῦ,The Exaltation of the Cross,One of the Twelve Great Feasts,09-14.jpg
1,11-21,fixed,2,The Entrance of the Theotokos into the Temple,Τὰ Εἰσόδια τῆς Θεοτόκου,Введение во храм Пресвятой Богородицы,The Presentation of the Virgin,Τὰ Εἰσόδια,The Presentation of the Virgin,One of the Twelve Great Feasts,11-21.jpg
1,12-25,fixed,2,The Nativity of Christ,Ἡ Γέννησις τοῦ Χριστοῦ,Рождество Христово,The Nativity of Christ,Ἡ Γέννησις,The Nativity of Christ,One of the Twelve Great Feasts,12-25.jpg
1,P+000,movable,1,Great and Holy Pascha,Τὸ Ἅγιον Πάσχα,Пасха · Светлое Христово Воскресение,Anastasis — the Harrowing of Hades,Ἀνάστασις,Anastasis — the Harrowing of Hades,Pascha — the Feast of Feasts,Pp000.jpg
1,P+039,movable,2,The Ascension of the Lord,Ἀνάληψις,Вознесение Господне,The Ascension,Ἡ Ἀνάληψις,The Ascension,One of the Twelve Great Feasts,Pp039.jpg
1,P+049,movable,2,Holy Pentecost,Πεντηκοστή,День Святой Троицы · Пятидесятница,The Descent of the Holy Spirit,Ἡ Πεντηκοστή,The Descent of the Holy Spirit,One of the Twelve Great Feasts,Pp049.jpg
1,P-001,movable,2,Great and Holy Saturday,Μέγα Σάββατον,Великая Суббота,The Epitaphios — Lamentation at the Tomb,Ὁ Ἐπιτάφιος,The Epitaphios — Lamentation at the Tomb,Great Feast,Pm001.jpg
1,P-002,movable,2,Great and Holy Friday,Μεγάλη Παρασκευή,Великая Пятница,The Crucifixion,Ἡ Σταύρωσις,The Crucifixion,Great Feast,Pm002.jpg
1,P-007,movable,2,Palm Sunday,Κυριακὴ τῶν Βαΐων,Вход Господень в Иерусалим,The Entry into Jerusalem,Ἡ Βαϊοφόρος,The Entry into Jerusalem,One of the Twelve Great Feasts,Pm007.jpg
2,01-01,fixed,3,The Circumcision of Christ · St. Basil the Great,Ἡ Περιτομὴ τοῦ Χριστοῦ · Μ. Βασιλείου,Обрезание Господне · свт. Василия Великого,,,The Circumcision of Christ · St. Basil the Great,Major commemoration,01-01.jpg
2,01-07,fixed,3,Synaxis of St. John the Forerunner,Σύναξις Ἰωάννου Προδρόμου,Собор Иоанна Предтечи,,,Synaxis of St. John the Forerunner,Major commemoration,01-07.jpg
2,01-17,fixed,3,St. Anthony the Great,Ἁγίου Ἀντωνίου τοῦ Μεγάλου,Прп. Антония Великого,,,St. Anthony the Great,Major commemoration,01-17.jpg
